Compound,InChIKey,Constants,Types,Temperature
krypton,DNNSSWSSYDEUBZ-UHFFFAOYSA-N,"['2.5E-05', '2.5E-05', '2.5E-05', '2.5E-05', '2.0E-05', '2.5E-05', '2.5E-05', '2.5E-05', '2.6E-05', '2.4E-05', '3.4E-05', '2.8E-05', '2.4E-05', '4.4E-05', '2.6E-05', '1.5E-05', '1.6E-05', '2.5E-05', '2.5E-05', '2.0E-05', '2.5E-05', '2.5E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[1426.85, 1626.85, 1626.85, 1626.85, 25.0, 1726.85, 1526.85, 1626.85, 1526.85, 1426.85, 1126.85, 1626.85, 1526.85, 25.0, 25.0, 1326.85, 1126.85, 25.0, 1626.85, 25.0, 1526.85, 25.0]"
xenon,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,"['4.4E-05', '4.3E-05', '4.3E-05', '4.2E-05', '3.3E-05', '4.5E-05', '4.0E-05', '4.3E-05', '4.2E-05', '4.2E-05', '4.4E-05', '4.2E-05', '5.5E-05', '2.5E-05', '7.0E-05', '2.9E-05', '8.2E-05', '4.3E-05', '3.4E-05', '4.9E-05', '4.3E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'V', 'T', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[1926.85, 2026.85, 2026.85, 1926.85, 25.0, 2126.85, 2126.85, 2026.85, 2126.85, 1926.85, 2226.85, 1926.85, 25.0, 25.0, 2026.85, 1526.85, 25.0, 2026.85, 25.0, 1926.85, 25.0]"
xenon-133,FHNFHKCVQCLJFQ-NJFSPNSNSA-N,['3.2E-05'],['M'],[25.0]
radon,SYUHGPGVQRZVTB-UHFFFAOYSA-N,"['9.1E-05', '9.1E-05', '9.2E-05', '9.4E-05', '1.0E-04', '1.2E-04', '1.0E-04', '7.4E-05', '9.1E-05', '8.3E-05', '9.1E-05']","['L', 'L', 'L', 'M', 'M', 'T', 'Q', 'Q', '?', '?', '?']","[2626.85, 2326.85, 2326.85, 2326.85, 2426.85, 25.0, 25.0, 2126.85, 2326.85, 2526.85, 25.0]"
boric acid,KGBXLFKZBHKPEV-UHFFFAOYSA-N,['3.8E+06'],['V'],[25.0]
selenium hydride,BUGBHKTXTAQXES-UHFFFAOYSA-N,"['8.1E-04', '8.3E-04', '8.3E-04']","['L', 'L', 'M']","[1426.85, 1626.85, 1626.85]"
phosphorus trihydride,XYFCBTPGUUZFHI-UHFFFAOYSA-N,"['8.1E-05', '5.9E-05', '8.1E-05']","['L', 'M', '?']","[1726.85, 2726.85, 1726.85]"
arsenic hydride,RQNWIZPPADIBDY-UHFFFAOYSA-N,['8.8E-05'],['L'],[1826.85]
mercury,QSHDDOUJBYECFT-UHFFFAOYSA-N,"['1.3E-03', '1.3E-03', '1.2E-03', '1.1E-03', '1.3E-03', '1.3E-03', '8.7E-04', '1.1E-03', '1.2E-03', '1.4E-03', '1.4E-03', '1.3E-03', '1.3E-03', '9.2E-04']","['L', 'L', 'L', 'L', 'M', 'M', 'V', 'V', 'C', 'C', '?', '?', '?', '?']","[2326.85, 2326.85, 5126.85, 4526.85, 2326.85, 2226.85, 25.0, 5426.85, 25.0, 25.0, 25.0, 2426.85, 25.0, 25.0]"
mercury(II) oxide,UKWHYYKOEPRTIC-UHFFFAOYSA-N,"['3.2E+04', '2.7E+10', '1.4E+04']","['?', '?', '?']","[25.0, 25.0, 25.0]"
mercury dihydroxide,VLKKXDVIWIBHHS-UHFFFAOYSA-L,"['1.3E+02', '1.3E+02']","['C', 'C']","[3926.85, 3926.85]"
mercury dichloride,LWJROJCJINYWOX-UHFFFAOYSA-L,"['1.0E+03', '1.6E+04', '4.2E+04', '1.3E+04', '2.4E+05', '1.4E+04', '1.4E+04', '4.2E+04', '2.7E+04', '1.4E+04', '6.3E+02']","['M', 'V', 'V', 'R', 'C', 'C', 'C', 'Q', '?', '?', '?']","[25.0, 25.0, 25.0, 7126.85, 25.0, 5026.85, 5026.85, 7126.85, 25.0, 9226.85, 25.0]"
mercury dibromide,NGYIMTKLQULBOO-UHFFFAOYSA-L,"['1.2E+03', '9.6E+02', '4.4E+03', '2.7E+04', '5.2E+01']","['V', 'C', 'Q', '?', '?']","[25.0, 7126.85, 6826.85, 25.0, 25.0]"
mercury diiodide,YFDLHELOZYVNJE-UHFFFAOYSA-L,"['5.7E+01', '2.0E+02', '1.9E+00']","['V', 'Q', '?']","[25.0, 6426.85, 25.0]"
methane,VNWKTOKETHGBQD-UHFFFAOYSA-N,"['1.4E-05', '1.2E-05', '1.4E-05', '1.2E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.5E-05', '1.4E-05', '1.3E-05', '1.6E-05', '1.4E-05', '1.2E-05', '1.3E-05', '1.4E-05', '1.2E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.3E-05', '1.5E-05', '1.4E-05', '1.5E-05', '1.3E-05', '1.3E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.3E-05', '9.2E-05', '1.4E-05', '1.4E-05', '9.6E-06', '1.3E-05', '1.1E-05', '3.4E-03', '7.0E-07', '2.5E-05', '3.0E-05', '3.0E-05', '8.6E-06', '1.6E-05', '2.1E-05', '2.4E-05', '1.6E-05', '1.4E-05', '1.2E-05', '1.3E-05', '1.5E-05', '1.4E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'R', 'T', 'C', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?', '?']","[1326.85, 826.85, 1326.85, 826.85, 1626.85, 1326.85, 1326.85, 1226.85, 1326.85, 1326.85, 25.0, 1426.85, 1226.85, 25.0, 1526.85, 2126.85, 1126.85, 1326.85, 25.0, 1526.85, 1326.85, 1326.85, 1326.85, 1426.85, 25.0, 1326.85, 25.0, 1326.85, 1426.85, 25.0, 25.0, 25.0, 25.0, 1326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 1326.85, 25.0, 1426.85, 25.0, 25.0]"
ethane,OTMSDBZUPAUEDD-UHFFFAOYSA-N,"['1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '1.9E-05', '2.0E-05', '1.8E-05', '2.0E-05', '1.3E-05', '1.8E-05', '1.9E-05', '1.8E-05', '2.0E-05', '2.0E-05', '2.0E-05', '1.7E-05', '1.8E-05', '2.0E-05', '2.0E-05', '2.0E-05', '1.7E-05', '1.0E-04', '4.0E-05', '2.0E-05', '1.8E-05', '1.8E-05', '1.3E-03', '1.1E-04', '1.1E-05', '2.0E-05', '2.0E-05', '3.3E-06', '2.0E-05', '1.2E-05', '2.0E-05', '4.1E-05', '2.0E-05', '7.8E-06', '4.6E-06', '2.1E-05', '2.1E-05', '1.8E-05', '1.5E-05', '2.4E-05', '2.2E-05', '1.1E-05', '2.0E-05', '1.9E-05', '1.5E-05', '1.8E-05', '2.0E-05', '1.9E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'T', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?', '?']","[2126.85, 2126.85, 2126.85, 2126.85, 2126.85, 2026.85, 2026.85, 2026.85, 25.0, 2126.85, 2026.85, 25.0, 2426.85, 2026.85, 2426.85, 25.0, 2126.85, 25.0, 1826.85, 2126.85, 25.0, 25.0, 25.0, 1726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 2026.85, 25.0, 2126.85, 25.0, 25.0]"
propane,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,"['1.5E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.5E-05', '1.4E-05', '1.5E-05', '1.6E-05', '1.5E-05', '9.7E-06', '1.4E-05', '1.4E-05', '1.6E-05', '1.4E-05', '1.5E-05', '1.4E-05', '1.4E-05', '1.4E-05', '1.5E-05', '1.5E-05', '1.3E-05', '1.4E-05', '1.4E-05', '1.7E-05', '4.4E-04', '8.7E-05', '9.3E-06', '1.9E-05', '4.1E-06', '1.6E-05', '1.2E-05', '1.2E-05', '2.4E-05', '1.4E-05', '7.2E-06', '3.7E-06', '1.4E-05', '2.0E-05', '1.4E-05', '1.5E-05', '1.7E-05', '1.6E-05', '1.3E-05', '1.4E-05', '1.5E-05', '1.4E-05', '1.5E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[2426.85, 2426.85, 2426.85, 2426.85, 2526.85, 2526.85, 2426.85, 25.0, 2426.85, 2426.85, 2426.85, 25.0, 2726.85, 25.0, 2426.85, 25.0, 2326.85, 25.0, 25.0, 25.0, 2326.85, 2426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 4226.85, 25.0, 25.0]"
butane,IJDNQMDRQITEOD-UHFFFAOYSA-N,"['1.2E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.2E-05', '1.3E-05', '1.2E-05', '1.0E-05', '1.2E-05', '1.3E-05', '8.0E-06', '1.2E-05', '1.1E-05', '1.3E-05', '1.1E-05', '1.1E-05', '1.0E-05', '1.0E-05', '1.0E-05', '1.0E-05', '9.6E-06', '1.1E-05', '1.1E-05', '1.2E-05', '1.2E-05', '4.8E-05', '1.1E-05', '1.1E-05', '1.1E-05', '1.6E-05', '1.6E-05', '4.4E-04', '7.8E-05', '1.1E-05', '1.8E-05', '1.1E-05', '4.6E-06', '1.2E-05', '1.6E-05', '9.9E-06', '1.4E-05', '1.2E-05', '3.5E-06', '1.1E-05', '1.6E-05', '1.0E-05', '1.5E-05', '1.3E-05', '1.2E-05', '1.2E-05', '1.1E-05', '1.2E-05', '1.1E-05', '1.2E-05']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[2826.85, 2826.85, 2826.85, 2826.85, 2826.85, 2826.85, 2726.85, 25.0, 2826.85, 2026.85, 25.0, 2926.85, 25.0, 2926.85, 25.0, 2626.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 2626.85, 2826.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 2726.85, 25.0, 25.0]"
2-methylpropane,NNPPMTNAJDCUHE-UHFFFAOYSA-N,"['9.1E-06', '9.1E-06', '9.1E-06', '9.1E-06', '9.2E-06', '9.1E-06', '8.3E-06', '8.0E-06', '1.1E-04', '8.5E-06', '9.9E-06', '8.5E-06', '8.3E-06', '8.3E-06', '8.3E-06', '8.3E-06', '8.4E-06', '9.7E-06', '8.5E-06', '1.3E-05', '1.7E-04', '8.3E-05', '5.3E-06', '2.0E-05', '3.1E-06', '1.2E-05', '6.2E-06', '9.9E-06', '1.5E-05', '5.6E-06', '5.8E-06', '3.7E-06', '8.4E-06', '8.4E-06', '9.8E-06', '1.0E-05', '1.5E-05', '1.1E-05', '1.0E-05', '1.1E-05', '8.6E-06', '9.1E-06', '8.5E-06', '8.0E-06', '7.9E-06']","['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[2426.85, 2426.85, 2426.85, 2426.85, 2626.85, 2426.85, 25.0, 2426.85, 4826.85, 25.0, 2426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 2426.85, 25.0, 25.0, 25.0]"
pentane,OFBQJSOFQDEBGM-UHFFFAOYSA-N,"['7.2E-06', '8.7E-06', '8.0E-06', '8.0E-06', '8.7E-06', '8.2E-06', '7.8E-06', '7.8E-06', '7.8E-06', '8.3E-06', '7.8E-06', '7.9E-06', '8.3E-06', '8.3E-06', '7.8E-06', '7.8E-06', '1.3E-05', '4.9E-05', '4.4E-04', '6.5E-05', '9.3E-06', '1.7E-05', '4.7E-06', '7.8E-06', '1.2E-05', '7.8E-06', '8.3E-06', '9.9E-06', '6.6E-06', '3.1E-06', '8.4E-06', '1.5E-05', '8.0E-06', '1.5E-05', '1.0E-05', '9.9E-06', '7.9E-06', '7.8E-06', '5.1E-06', '7.8E-06', '8.0E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?', '?']","[3626.85, 3226.85, 3126.85, 25.0, 3126.85, 3326.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methylbutane,QWTDNUCVQCZILF-UHFFFAOYSA-N,"['7.7E-06', '7.2E-06', '7.0E-06', '7.0E-06', '7.2E-06', '2.1E-06', '7.2E-06', '7.2E-06', '7.6E-06', '7.6E-06', '7.2E-06', '1.7E-04', '7.3E-05', '6.0E-06', '2.0E-05', '3.8E-06', '7.8E-06', '7.8E-06', '7.8E-06', '8.5E-06', '6.4E-06', '7.2E-06', '3.8E-06', '5.8E-06', '8.4E-06', '7.9E-06', '1.5E-05', '8.4E-06', '7.2E-06', '7.2E-06']","['L', 'L', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[2726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
dimethylpropane,CRSOQBOWXPBRES-UHFFFAOYSA-N,"['6.0E-06', '2.7E-06', '5.9E-06', '5.5E-06', '4.7E-06', '6.3E-06', '2.7E-06', '2.7E-06', '4.5E-06', '4.5E-06', '4.5E-06', '4.7E-06', '7.5E-05', '4.5E-05', '2.1E-06', '2.5E-05', '2.0E-06', '7.8E-06', '2.5E-06', '7.8E-06', '8.3E-06', '2.5E-06', '5.3E-06', '3.6E-06', '4.6E-06', '3.8E-06', '8.0E-06', '1.4E-05', '7.3E-06', '6.2E-06', '4.7E-06', '4.7E-06', '5.8E-06', '5.9E-06']","['L', 'L', 'L', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[2726.85, 25.0, 3026.85, 2526.85, 25.0, 2926.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,"['5.7E-06', '6.9E-06', '6.1E-06', '5.9E-06', '6.1E-06', '7.4E-06', '2.4E-04', '6.7E-06', '9.9E-06', '6.7E-06', '5.9E-06', '5.4E-06', '5.5E-06', '5.5E-06', '5.5E-06', '5.5E-06', '5.5E-06', '7.1E-06', '6.1E-06', '5.4E-06', '5.9E-06', '5.9E-06', '6.7E-06', '7.6E-06', '7.6E-06', '1.0E-05', '5.7E-06', '4.4E-04', '5.0E-05', '6.9E-06', '1.6E-05', '2.3E-05', '4.5E-06', '6.2E-06', '9.9E-06', '6.2E-06', '5.2E-06', '7.7E-06', '5.2E-06', '2.9E-06', '5.8E-06', '6.0E-06', '6.2E-06', '1.4E-05', '1.4E-05', '7.9E-06', '7.9E-06', '7.6E-06', '3.4E-06', '7.6E-06', '6.1E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'T', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[4126.85, 3526.85, 3526.85, 25.0, 25.0, 25.0, 8426.85, 25.0, 7226.85, 3926.85, 3726.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 3526.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methylpentane,AFABGHUZZDYHJO-UHFFFAOYSA-N,"['6.4E-06', '5.7E-06', '5.9E-06', '1.3E-05', '5.8E-06', '5.8E-06', '5.7E-06', '5.7E-06', '5.7E-06', '5.7E-06', '6.0E-06', '6.0E-06', '5.7E-06', '6.2E-06', '1.7E-04', '6.0E-05', '4.5E-06', '1.9E-05', '3.5E-06', '6.2E-06', '6.2E-06', '6.2E-06', '5.1E-06', '4.8E-06', '5.9E-06', '3.9E-06', '5.8E-06', '8.0E-06', '6.1E-06', '1.4E-05', '7.0E-06', '6.7E-06', '5.7E-06', '3.6E-06', '5.7E-06']","['L', 'L', 'L', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'C', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[4226.85, 3626.85, 25.0, 686.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methylpentane,PFEOZHBOMNWTJB-UHFFFAOYSA-N,"['5.9E-06', '5.9E-06', '5.8E-06', '5.9E-06', '5.8E-06', '5.9E-06', '5.9E-06', '5.9E-06', '5.8E-06', '6.0E-06', '8.2E-06', '1.7E-04', '6.0E-05', '5.8E-06', '1.9E-05', '4.1E-06', '6.2E-06', '7.8E-06', '6.2E-06', '5.1E-06', '6.2E-06', '7.0E-06', '3.1E-06', '5.8E-06', '6.7E-06', '6.1E-06', '1.4E-05', '7.2E-06', '7.0E-06', '8.2E-06', '3.7E-06', '8.8E-06']","['L', 'L', 'L', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,2-dimethylbutane",HNRMPXKDFBEGFZ-UHFFFAOYSA-N,"['5.7E-06', '5.6E-06', '5.8E-06', '6.5E-06', '5.8E-06', '5.0E-06', '5.0E-06', '5.8E-06', '5.1E-06', '5.5E-06', '5.5E-06', '6.5E-06', '7.5E-05', '4.0E-05', '2.8E-06', '2.5E-05', '2.7E-06', '6.2E-06', '3.1E-06', '6.2E-06', '4.9E-06', '3.4E-06', '7.2E-06', '3.9E-06', '5.3E-06', '3.4E-06', '6.2E-06', '1.3E-05', '6.0E-06', '5.3E-06', '6.5E-06', '3.4E-06', '6.5E-06']","['L', 'L', 'L', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?']","[25.0, 3226.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"2,3-dimethylbutane",ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,"['8.0E-06', '7.6E-06', '7.7E-06', '8.4E-06', '8.2E-06', '6.9E-06', '6.9E-06', '7.1E-06', '7.6E-06', '6.7E-05', '6.8E-05', '4.9E-06', '2.2E-05', '3.5E-06', '6.2E-06', '6.2E-06', '6.2E-06', '5.3E-06', '5.3E-06', '7.6E-06', '5.2E-06', '7.7E-06', '4.2E-06', '6.1E-06', '1.3E-05', '5.8E-06', '7.6E-06', '7.6E-06']","['L', 'L', 'L', 'V', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[4126.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,"['4.4E-06', '4.9E-06', '4.4E-06', '4.3E-06', '4.5E-06', '5.5E-06', '1.2E-05', '6.0E-06', '4.2E-06', '4.8E-06', '4.9E-06', '5.5E-06', '4.8E-06', '4.8E-06', '5.0E-06', '4.8E-06', '5.2E-06', '5.2E-06', '3.7E-06', '3.7E-06', '8.2E-06', '1.1E-05', '4.4E-04', '4.7E-05', '4.9E-06', '8.0E-06', '4.1E-06', '4.9E-06', '7.8E-06', '3.9E-06', '3.4E-06', '5.4E-06', '5.3E-06', '2.4E-06', '4.1E-06', '5.1E-06', '1.3E-05', '6.5E-06', '6.0E-06', '6.2E-06', '3.7E-06', '2.8E-06', '3.6E-06', '4.4E-06']","['L', 'L', 'L', 'L', 'M', 'M', 'M', 'M', 'M', 'M', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?', '?', '?']","[4226.85, 3926.85, 3826.85, 25.0, 25.0, 25.0, 3426.85, 25.0, 4426.85, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
2-methylhexane,GXDHCNNESPLIKD-UHFFFAOYSA-N,"['2.9E-06', '2.9E-06', '2.9E-06', '1.9E-05', '2.9E-06', '2.9E-06', '2.9E-06', '2.9E-06', '2.9E-06', '1.7E-04', '4.7E-05', '3.2E-06', '1.7E-05', '3.2E-06', '4.9E-06', '3.9E-06', '3.9E-06', '3.3E-06', '3.7E-06', '5.2E-06', '2.8E-06', '2.9E-06', '3.4E-06', '1.3E-05', '5.2E-06', '2.9E-06', '2.9E-06']","['L', 'L', 'L', 'M', 'V', 'V', 'V', 'V', 'X', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, -3873.15, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
